AnimalType,SexUponOutcome,AgeUponOutcome,Breed1,Breed2,Color,Outcome
Dog,Intact Female,2190,Labrador Retriever Mix,Labrador Retriever Mix,Black,Transfer/Partner
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/Foster
Dog,Neutered Male,365,Jack Russell Terrier Mix,Jack Russell Terrier Mix,White/Tan,Adoption/
Dog,Neutered Male,1095,Border Collie Mix,Border Collie Mix,Brown Brindle/White,Transfer/Partner
Dog,Spayed Female,2555,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Dog,Neutered Male,365,Cavalier Span Mix,Cavalier Span Mix,Red,Return_to_owner/
Dog,Neutered Male,1095,Australian Shepherd,Australian Kelpie,Black/Buff,Adoption/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Black/White,Return_to_owner/
Dog,Spayed Female,1095,Pit Bull Mix,Pit Bull Mix,White/Tan,Adoption/
Dog,Intact Female,730,Shih Tzu Mix,Shih Tzu Mix,Buff/Black,Return_to_owner/
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Brown,Adoption/
Cat,Intact Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Dog,Spayed Female,1095,Pit Bull,Bulldog,Brown/White,Return_to_owner/
Dog,Spayed Female,2190,Border Collie Mix,Border Collie Mix,Black/White,Return_to_owner/
Dog,Spayed Female,240,German Shepherd,Labrador Retriever,White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Adoption/Foster
Dog,Neutered Male,1095,Pit Bull Mix,Pit Bull Mix,Tan/White,Adoption/
Dog,Neutered Male,60,Labrador Retriever Mix,Labrador Retriever Mix,Yellow/White,Adoption/
Dog,Neutered Male,120,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Silver/Black,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Adoption/Foster
Cat,Spayed Female,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Gray Tabby,Return_to_owner/
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Dog,Neutered Male,60,Dachshund Mix,Dachshund Mix,White/Orange,Transfer/Partner
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/Foster
Cat,Unknown,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby/White,Return_to_owner/
Cat,Neutered Male,1095,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby/White,Died/In Kennel
Dog,Spayed Female,150,German Shepherd Mix,German Shepherd Mix,Brown/Black,Adoption/
Cat,Intact Female,14,Siamese Mix,Siamese Mix,Lynx Point,Transfer/Partner
Dog,Intact Male,365,German Shepherd Mix,German Shepherd Mix,Tan/Black,Return_to_owner/
Cat,Intact Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Euthanasia/Suffering
Dog,Neutered Male,2920,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Black/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Adoption/
Dog,Spayed Female,1825,Shiba Inu Mix,Shiba Inu Mix,Brown/White,Adoption/
Dog,Neutered Male,30,Pit Bull Mix,Pit Bull Mix,Blue/White,Adoption/
Dog,Neutered Male,730,Pug,Chihuahua Shorthair,Black/White,Adoption/
Dog,Spayed Female,240,Pbgv,Pbgv,White/Tan,Adoption/
Dog,Neutered Male,2920,Rat Terrier Mix,Rat Terrier Mix,Tricolor,Return_to_owner/
Dog,Spayed Female,1095,Carolina Dog Mix,Carolina Dog Mix,Tan,Adoption/
Dog,Neutered Male,730,Pekingese Mix,Pekingese Mix,Brown/White,Adoption/
Cat,Unknown,3,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Spayed Female,240,Siamese Mix,Siamese Mix,Lynx Point,Adoption/
Dog,Spayed Female,330,Labrador Retriever Mix,Labrador Retriever Mix,Red,Adoption/
Dog,Neutered Male,2920,Basset Hound Mix,Basset Hound Mix,White/Tan,Return_to_owner/
Cat,Spayed Female,730,Maine Coon Mix,Maine Coon Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,120,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Transfer/Partner
Dog,Neutered Male,365,Cocker Spaniel Mix,Cocker Spaniel Mix,Buff,Adoption/
Dog,Intact Female,365,Australian Cattle Dog Mix,Australian Cattle Dog Mix,White/Brown,Transfer/Partner
Cat,Neutered Male,2920,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby/White,Transfer/Partner
Cat,Spayed Female,1825,Siamese Mix,Siamese Mix,Tortie Point,Transfer/Partner
Dog,Neutered Male,1460,Bichon Frise Mix,Bichon Frise Mix,White,Adoption/
Dog,Spayed Female,2920,Jindo Mix,Jindo Mix,White,Return_to_owner/
Dog,Neutered Male,730,Pit Bull Mix,Pit Bull Mix,Black/White,Transfer/Partner
Cat,Intact Male,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Adoption/Foster
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/Partner
Dog,Spayed Female,300,Siberian Husky Mix,Siberian Husky Mix,Sable/White,Adoption/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,1825,Boxer Mix,Boxer Mix,Brown Brindle/White,Adoption/
Dog,Intact Female,7,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Black/White,Transfer/Partner
Dog,Intact Female,180,Golden Retriever Mix,Golden Retriever Mix,Cream,Transfer/Partner
Dog,Neutered Male,1460,Maltese,Miniature Poodle,White,Adoption/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Black/White,Transfer/Partner
Dog,Intact Female,30,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/Black,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Adoption/
Dog,Neutered Male,300,Labrador Retriever,Pit Bull,Brown Brindle/White,Transfer/Partner
Dog,Spayed Female,2190,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Blue Tick,Adoption/
Dog,Intact Female,2555,Maltese Mix,Maltese Mix,White,Euthanasia/Suffering
Dog,Intact Female,1095,Shih Tzu Mix,Shih Tzu Mix,Sable/White,Transfer/Partner
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Transfer/Partner
Dog,Neutered Male,1095,Pit Bull Mix,Pit Bull Mix,Blue/White,Return_to_owner/
Dog,Neutered Male,1095,Dachshund Longhair Mix,Dachshund Longhair Mix,Brown/White,Return_to_owner/
Dog,Neutered Male,730,Great Pyrenees,Rottweiler,Red,Return_to_owner/
Dog,Spayed Female,60,English Pointer Mix,English Pointer Mix,White/Brown Brindle,Adoption/
Cat,Intact Female,210,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/SCRP
Dog,Neutered Male,1460,Australian Shepherd Mix,Australian Shepherd Mix,Black/Tan,Adoption/
Dog,Intact Female,1825,Pit Bull Mix,Pit Bull Mix,White/Black Brindle,Return_to_owner/
Dog,Neutered Male,150,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Blue Tick/Black,Adoption/
Dog,Spayed Female,1825,Pit Bull Mix,Pit Bull Mix,Chocolate/White,Transfer/Partner
Cat,Unknown,1,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,365,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Return_to_owner/
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/
Dog,Spayed Female,1825,Pit Bull Mix,Pit Bull Mix,Red/White,Transfer/Partner
Dog,Spayed Female,180,Chihuahua Longhair Mix,Chihuahua Longhair Mix,White,Transfer/Partner
Cat,Spayed Female,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Intact Male,1460,Miniature Poodle Mix,Miniature Poodle Mix,White,Euthanasia/Suffering
Dog,Spayed Female,60,Australian Cattle Dog,German Shepherd,Black/Brown,Adoption/
Dog,Intact Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tricolor,Return_to_owner/
Cat,Neutered Male,2555,Siamese Mix,Siamese Mix,Seal Point,Transfer/Partner
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate/Tan,Adoption/
Dog,Intact Male,365,Boxer Mix,Boxer Mix,Brown,Return_to_owner/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Adoption/
Dog,Neutered Male,1460,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White,Return_to_owner/
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Black,Adoption/
Cat,Spayed Female,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Intact Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/SCRP
Dog,Intact Male,730,Labrador Retriever,Chow Chow,Black,Euthanasia/Aggressive
Dog,Neutered Male,730,German Shepherd Mix,German Shepherd Mix,Black/Tan,Adoption/
Dog,Spayed Female,365,Border Collie,Chow Chow,Black/White,Adoption/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie/White,Transfer/Partner
Cat,Spayed Female,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,1460,Miniature Poodle Mix,Miniature Poodle Mix,Black/Tan,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Offsite
Dog,Neutered Male,3650,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Return_to_owner/
Dog,Neutered Male,120,Pit Bull Mix,Pit Bull Mix,Black/White,Transfer/Partner
Dog,Neutered Male,30,German Shepherd,Mastiff,Tan,Adoption/Foster
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/Partner
Cat,Unknown,7,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black Tabby,Transfer/Partner
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,5110,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Return_to_owner/
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Neutered Male,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Return_to_owner/
Dog,Spayed Female,1460,Dachshund Longhair Mix,Dachshund Longhair Mix,Red/White,Adoption/
Dog,Neutered Male,730,Siberian Husky Mix,Siberian Husky Mix,Black/White,Return_to_owner/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/SCRP
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Transfer/Partner
Dog,Intact Female,730,Pit Bull,Boxer,White/Black,Euthanasia/Aggressive
Dog,Spayed Female,730,Labrador Retriever,Boxer,Brown/White,Adoption/
Cat,Spayed Female,30,Siamese Mix,Siamese Mix,Tortie Point,Adoption/
Dog,Intact Female,210,Pit Bull Mix,Pit Bull Mix,Brown/White,Transfer/Partner
Dog,Intact Female,7,American Staffordshire Terrier,American Staffordshire Terrier,Black/Brown,Transfer/Partner
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue Smoke,Adoption/
Dog,Intact Female,90,Labrador Retriever,Plott Hound,Black,Transfer/Partner
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black/White,Adoption/
Dog,Neutered Male,1095,Border Collie Mix,Border Collie Mix,Black/White,Return_to_owner/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Chocolate/White,Return_to_owner/
Dog,Neutered Male,60,Dachshund Wirehair Mix,Dachshund Wirehair Mix,Tan,Adoption/
Dog,Intact Male,1095,Pit Bull Mix,Pit Bull Mix,White/Brown,Transfer/Partner
Cat,Unknown,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/SCRP
Dog,Neutered Male,300,Dachshund Mix,Dachshund Mix,Black/Tan,Adoption/
Dog,Intact Female,730,Pit Bull Mix,Pit Bull Mix,Fawn,Euthanasia/Aggressive
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Spayed Female,365,Border Collie Mix,Border Collie Mix,Tricolor,Return_to_owner/
Dog,Spayed Female,365,Rottweiler Mix,Rottweiler Mix,Black/Tan,Transfer/Partner
Dog,Neutered Male,365,Shih Tzu Mix,Shih Tzu Mix,Gray/White,Return_to_owner/
Dog,Neutered Male,730,Dachshund Longhair Mix,Dachshund Longhair Mix,Red/Brown,Adoption/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Euthanasia/Suffering
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Adoption/
Dog,Neutered Male,365,Norfolk Terrier Mix,Norfolk Terrier Mix,White/Tricolor,Transfer/Partner
Dog,Spayed Female,1460,Border Collie,Mastiff,Black/White,Adoption/
Dog,Spayed Female,300,Beagle,German Shepherd,Sable/White,Adoption/
Dog,Intact Male,1460,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Transfer/Partner
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue Tabby,Adoption/Foster
Dog,Neutered Male,365,Podengo Pequeno Mix,Podengo Pequeno Mix,White/Brown,Adoption/Offsite
Cat,Neutered Male,240,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Adoption/
Dog,Spayed Female,2555,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate,Adoption/
Dog,Spayed Female,60,Black Mouth Cur Mix,Black Mouth Cur Mix,Buff,Return_to_owner/
Dog,Spayed Female,300,Golden Retriever Mix,Golden Retriever Mix,Buff,Adoption/
Dog,Neutered Male,150,Labrador Retriever Mix,Labrador Retriever Mix,Brown/White,Adoption/
Dog,Neutered Male,180,Labrador Retriever Mix,Labrador Retriever Mix,Black,Return_to_owner/
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Intact Male,120,Jack Russell Terrier,Jack Russell Terrier,White/Tan,Transfer/Partner
Dog,Spayed Female,730,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Red Tick,Transfer/Partner
Cat,Neutered Male,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/SCRP
Dog,Spayed Female,365,Catahoula Mix,Catahoula Mix,Brown Brindle/White,Transfer/Partner
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,180,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Blue,Adoption/
Cat,Neutered Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Return_to_owner/
Cat,Spayed Female,120,Snowshoe Mix,Snowshoe Mix,Chocolate Point,Adoption/Foster
Dog,Spayed Female,1825,Standard Poodle,Labrador Retriever,Black,Return_to_owner/
Dog,Intact Male,4380,Pit Bull Mix,Pit Bull Mix,White,Return_to_owner/
Dog,Neutered Male,270,Labrador Retriever,Pit Bull,Brown Brindle,Adoption/
Cat,Neutered Male,300,Domestic Medium Hair Mix,Domestic Medium Hair Mix,White/Orange Tabby,Transfer/Partner
Dog,Neutered Male,1095,American Bulldog Mix,American Bulldog Mix,Black/White,Return_to_owner/
Cat,Intact Female,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Return_to_owner/
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Adoption/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Neutered Male,730,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Gray/White,Return_to_owner/
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Adoption/Foster
Dog,Intact Female,28,Boston Terrier,Chihuahua Shorthair,Black/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue Tabby/White,Adoption/
Dog,Intact Female,120,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,730,Labrador Retriever,Catahoula,Brown/White,Transfer/Partner
Dog,Spayed Female,2190,Border Collie Mix,Border Collie Mix,Black/White,Adoption/
Dog,Intact Female,1825,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Return_to_owner/
Dog,Neutered Male,730,Collie Rough Mix,Collie Rough Mix,Brown/White,Transfer/Partner
Dog,Spayed Female,730,Dachshund Mix,Dachshund Mix,Tan/White,Adoption/
Cat,Neutered Male,4745,Ragdoll Mix,Ragdoll Mix,Seal Point,Euthanasia/Suffering
Dog,Intact Male,5475,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Return_to_owner/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Cat,Intact Female,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/SCRP
Dog,Spayed Female,365,Chihuahua Shorthair,Chihuahua Shorthair,Brown,Transfer/Partner
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Tricolor,Return_to_owner/
Dog,Neutered Male,1095,Akita Mix,Akita Mix,Tan/White,Return_to_owner/
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Intact Female,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Silver Tabby,Transfer/SCRP
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/Foster
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Intact Female,3,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/Partner
Dog,Neutered Male,120,German Shepherd Mix,German Shepherd Mix,Black/Brown,Adoption/
Dog,Intact Female,60,Pit Bull,Boxer,Black/White,Transfer/Partner
Dog,Neutered Male,2555,Labrador Retriever,Collie Rough,Tan/White,Return_to_owner/
Dog,Neutered Male,1460,Pointer Mix,Pointer Mix,White/Black,Return_to_owner/
Cat,Neutered Male,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Adoption/
Dog,Neutered Male,730,Labrador Retriever,German Shepherd,Yellow,Adoption/
Dog,Neutered Male,730,Labrador Retriever Mix,Labrador Retriever Mix,Black,Transfer/Partner
Dog,Spayed Female,365,Beagle,Dachshund,Brown/White,Adoption/
Dog,Spayed Female,1095,Miniature Poodle,Miniature Schnauzer,White,Return_to_owner/
Dog,Neutered Male,2555,Pit Bull Mix,Pit Bull Mix,Tan/White,Euthanasia/Aggressive
Dog,Spayed Female,60,Pit Bull Mix,Pit Bull Mix,White/Black,Adoption/
Dog,Spayed Female,730,Border Collie Mix,Border Collie Mix,Black/White,Return_to_owner/
Cat,Intact Female,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Unknown,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/SCRP
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/SCRP
Dog,Neutered Male,240,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Cream Tabby,Adoption/Foster
Cat,Neutered Male,180,Snowshoe Mix,Snowshoe Mix,Seal Point/White,Transfer/Partner
Dog,Neutered Male,1095,Rat Terrier Mix,Rat Terrier Mix,White/Tan,Transfer/Partner
Cat,Intact Male,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Male,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,365,Miniature Schnauzer,Chihuahua Shorthair,Black,Adoption/
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,White/Black,Return_to_owner/
Dog,Intact Female,1460,American Bulldog Mix,American Bulldog Mix,White/Tan,Transfer/Partner
Dog,Neutered Male,1095,Labrador Retriever Mix,Labrador Retriever Mix,Black,Adoption/
Dog,Neutered Male,90,Miniature Pinscher Mix,Miniature Pinscher Mix,Black/Brown,Adoption/
Cat,Intact Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Cat,Neutered Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Cat,Spayed Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Return_to_owner/
Dog,Spayed Female,1095,Pomeranian,Chihuahua Longhair,Red/Black,Return_to_owner/
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Orange Tabby/White,Transfer/Partner
Dog,Spayed Female,365,Staffordshire Mix,Staffordshire Mix,White/Black,Transfer/Partner
Dog,Intact Female,60,Great Pyrenees,Great Pyrenees,White,Transfer/Partner
Cat,Neutered Male,60,Siamese Mix,Siamese Mix,Lilac Point,Adoption/Foster
Dog,Spayed Female,365,Boxer Mix,Boxer Mix,Red,Transfer/Partner
Cat,Unknown,21,Domestic Longhair Mix,Domestic Longhair Mix,Blue Tabby,Transfer/Partner
Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Tan,Return_to_owner/
Dog,Intact Female,60,Australian Kelpie,Australian Shepherd,Red/Black,Transfer/Partner
Cat,Intact Female,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Euthanasia/Suffering
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Dog,Spayed Female,1095,Catahoula Mix,Catahoula Mix,Tan/Brown Merle,Return_to_owner/
Cat,Spayed Female,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/Offsite
Dog,Neutered Male,2920,Dachshund Mix,Dachshund Mix,Red,Transfer/Partner
Dog,Spayed Female,365,Cairn Terrier,Miniature Schnauzer,Tan/White,Return_to_owner/
Dog,Spayed Female,240,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Black/White,Adoption/
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Black,Return_to_owner/
Dog,Neutered Male,2190,Rat Terrier Mix,Rat Terrier Mix,Brown/White,Adoption/Foster
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Transfer/Partner
Dog,Spayed Female,60,Labrador Retriever Mix,Labrador Retriever Mix,Black/Tan,Adoption/Foster
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/Partner
Cat,Unknown,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Neutered Male,1460,Pit Bull Mix,Pit Bull Mix,Black/White,Euthanasia/Aggressive
Dog,Spayed Female,365,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Transfer/Partner
Dog,Spayed Female,2920,Shetland Sheepdog Mix,Shetland Sheepdog Mix,White/Brown,Return_to_owner/
Cat,Neutered Male,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Spayed Female,330,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Dog,Spayed Female,730,Rat Terrier,Beagle,White/Black,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Cat,Neutered Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Neutered Male,2555,Beagle,Basset Hound,Black Brindle/White,Return_to_owner/
Dog,Spayed Female,365,American Staffordshire Terrier Mix,American Staffordshire Terrier Mix,White/Blue,Transfer/Partner
Dog,Intact Female,365,Dachshund Mix,Dachshund Mix,Red,Transfer/Partner
Dog,Neutered Male,2190,German Shepherd,Labrador Retriever,Brown/Tan,Euthanasia/Aggressive
Dog,Neutered Male,365,Labrador Retriever Mix,Labrador Retriever Mix,Tan/White,Adoption/
Dog,Spayed Female,60,Parson Russell Terrier Mix,Parson Russell Terrier Mix,White/Brown Brindle,Adoption/
Dog,Spayed Female,730,Dachshund,Chihuahua Shorthair,Black/White,Adoption/
Dog,Intact Female,60,Labrador Retriever Mix,Labrador Retriever Mix,Cream,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream Tabby,Adoption/Offsite
Dog,Intact Male,60,German Shepherd Mix,German Shepherd Mix,Black/Tan,Transfer/Partner
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Dog,Intact Female,365,Anatol Shepherd Mix,Anatol Shepherd Mix,White,Transfer/Partner
Cat,Intact Male,21,Domestic Longhair Mix,Domestic Longhair Mix,Brown Tabby/White,Transfer/Partner
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Dog,Spayed Female,240,Australian Cattle Dog,Bull Terrier,White/Red Tick,Transfer/Partner
Dog,Intact Male,5475,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Dog,Spayed Female,60,Labrador Retriever Mix,Labrador Retriever Mix,Yellow,Adoption/
Dog,Spayed Female,1460,Australian Shepherd Mix,Australian Shepherd Mix,Tricolor,Adoption/
Cat,Neutered Male,730,Siamese Mix,Siamese Mix,Lynx Point,Adoption/
