OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,,Dog,Neutered Male,7 months,American Pit Bull Terrier/Pointer,Chocolate/White
Adoption,,Dog,Neutered Male,2 years,Plott Hound Mix,Brown Brindle/White
Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair/Rat Terrier,White/Black
Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
Return_to_owner,,Dog,Neutered Male,9 years,Border Collie Mix,Black/White
Adoption,,Dog,Spayed Female,5 years,Catahoula Mix,Red Merle/White
Transfer,Partner,Dog,Intact Male,5 days,Pit Bull Mix,Fawn
Transfer,Partner,Dog,Spayed Female,6 months,German Shepherd Mix,Black/Tan
Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,4 years,Plott Hound Mix,Brown Brindle/White
Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,8 months,Plott Hound Mix,Brown Brindle/White
Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,,Dog,Neutered Male,6 years,Beagle Mix,Tricolor
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Died,In Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Died,In Kennel,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Male,2 days,German Shepherd Mix,Chocolate
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Torbie
Euthanasia,Suffering,Dog,Intact Male,5 months,Pit Bull Mix,Brown/White
Adoption,,Dog,Neutered Male,1 year,Dalmatian Mix,White/Black
Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,3 months,Great Dane Mix,Black/White
Transfer,Partner,Dog,Neutered Male,3 months,Labrador Retriever Mix,Brown/Black
Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Torbie/White
Return_to_owner,,Dog,Spayed Female,3 years,Great Pyrenees Mix,White
Return_to_owner,,Cat,Neutered Male,4 years,Manx Mix,Cream Tabby
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Intact Female,8 months,Yorkshire Terrier Mix,Brown
Return_to_owner,,Dog,Spayed Female,2 years,Papillon,Tan
Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Tan
Adoption,,Dog,Spayed Female,6 months,Australian Cattle Dog/Alaskan Husky,Yellow
Return_to_owner,,Dog,Spayed Female,4 years,Golden Retriever/Pit Bull,Yellow
Transfer,Partner,Dog,Intact Female,2 years,Catahoula Mix,Brown Merle/White
Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby/White
Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Intact Male,4 years,Siamese Mix,Seal Point
Transfer,Partner,Dog,Intact Female,4 months,Beagle/Standard Poodle,Black/White
Adoption,,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
Transfer,Partner,Dog,Intact Female,1 month,Border Collie/Labrador Retriever,Black/White
Transfer,Partner,Cat,Intact Female,2 months,Domestic Medium Hair,Black Tabby/White
Adoption,Foster,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,8 years,Chihuahua Shorthair/Dachshund,Black/Tan
Adoption,,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Black/White
Return_to_owner,,Dog,Neutered Male,5 years,Miniature Pinscher Mix,Black/Brown
Adoption,,Dog,Neutered Male,2 years,Mastiff Mix,Tan/Black
Return_to_owner,,Dog,Neutered Male,10 months,Labrador Retriever Mix,Chocolate
Return_to_owner,,Dog,Neutered Male,5 months,Rottweiler Mix,Black/Tan
Adoption,,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Tan
Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,White/Tan
Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
Adoption,,Cat,Neutered Male,4 months,Domestic Longhair Mix,Black/White
Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
Transfer,Partner,Cat,Unknown,1 year,Domestic Shorthair Mix,Blue Cream/Buff
Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Intact Female,5 months,Chihuahua Shorthair Mix,Fawn/White
Adoption,,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Tan/White
Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,Gray/Brown
Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Euthanasia,Suffering,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Adoption,Foster,Dog,Neutered Male,1 month,Beagle/German Shepherd,Brown/Black
Transfer,Partner,Dog,Neutered Male,10 years,Pug,Black
Return_to_owner,,Dog,Neutered Male,1 year,Miniature Poodle Mix,Black
Transfer,Partner,Dog,Neutered Male,10 months,Maltese/Miniature Poodle,White/Buff
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Male,3 months,Irish Terrier Mix,Red
Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Male,1 weeks,Australian Cattle Dog Mix,Cream/White
Adoption,Foster,Cat,Spayed Female,4 months,Snowshoe Mix,Lynx Point
Return_to_owner,,Dog,Neutered Male,3 years,Miniature Schnauzer/Lhasa Apso,Tan
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
Euthanasia,Aggressive,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Intact Female,8 years,Yorkshire Terrier,Black/Red
Transfer,Partner,Dog,Intact Female,2 years,Chow Chow/Labrador Retriever,Red
Adoption,Foster,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Spayed Female,2 months,Balinese Mix,Flame Point
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,5 years,Chow Chow Mix,Red
Euthanasia,Aggressive,Dog,Intact Male,8 years,Pit Bull Mix,White/Brown
Return_to_owner,,Cat,Unknown,4 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Brown
Transfer,Partner,Cat,Intact Male,3 days,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,White/Black
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Calico
Euthanasia,Suffering,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle
Return_to_owner,,Dog,Spayed Female,5 years,Staffordshire Mix,Blue/White
Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Chocolate/White
Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,5 months,Golden Retriever/Labrador Retriever,Red
Return_to_owner,,Dog,Spayed Female,5 years,Chinese Sharpei Mix,Tan/White
Adoption,,Dog,Neutered Male,2 years,Shih Tzu Mix,White
Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/German Shepherd,Tan/White
Return_to_owner,,Dog,Neutered Male,7 years,Rat Terrier/Chihuahua Shorthair,White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Tricolor
Transfer,Partner,Dog,Spayed Female,2 years,Pomeranian Mix,Buff
Adoption,Foster,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,Tricolor
Return_to_owner,,Dog,Neutered Male,7 years,Miniature Schnauzer Mix,White
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
Adoption,,Dog,Spayed Female,4 years,Miniature Schnauzer Mix,White
Adoption,,Dog,Neutered Male,2 years,Norfolk Terrier Mix,White/Red
Transfer,Partner,Dog,Neutered Male,3 months,Canaan Dog/Redbone Hound,Brown/White
Return_to_owner,,Dog,Spayed Female,11 years,Toy Poodle Mix,White
Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan
Adoption,,Dog,Spayed Female,3 months,Australian Cattle Dog Mix,Brown Merle/White
Euthanasia,Behavior,Dog,Neutered Male,3 years,Pit Bull/English Bulldog,Red/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
Transfer,Partner,Dog,Spayed Female,10 months,Rat Terrier Mix,Tricolor
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 years,American Bulldog Mix,White/Brown Brindle
Adoption,Foster,Dog,Spayed Female,10 months,Pug Mix,Sable
Transfer,Partner,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Italian Greyhound,White/Black
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Spayed Female,2 years,Pomeranian Mix,Buff
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Black
Adoption,,Dog,Spayed Female,1 year,Australian Shepherd Mix,Brown Brindle/White
Transfer,Partner,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Tricolor
Adoption,,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,White/Brown
Adoption,,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Brown Tabby/White
Transfer,Partner,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Cream Tabby
Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White
Return_to_owner,,Dog,Neutered Male,2 years,Harrier Mix,Black/Tricolor
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,8 years,Boxer Mix,Brown/White
Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Yellow
Died,In Kennel,Cat,Unknown,5 days,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Intact Male,1 year,Pit Bull Mix,Black/White
Transfer,SCRP,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Lynx Point
Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Buff
Return_to_owner,,Dog,Intact Female,8 months,German Shepherd Mix,Black/Brown
Return_to_owner,,Dog,Neutered Male,2 years,American Bulldog Mix,White/Brown
Return_to_owner,,Dog,Intact Female,8 years,German Shepherd/Greyhound,Brown Brindle
Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Black/White
Adoption,,Dog,Spayed Female,10 months,American Bulldog Mix,White/Brown
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Calico
Adoption,Foster,Cat,Neutered Male,2 months,Maine Coon Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Yellow Brindle
Adoption,Foster,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Blue Tabby/White
Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White
Adoption,,Dog,Spayed Female,5 months,Pug Mix,Buff
Adoption,,Dog,Spayed Female,2 years,Anatol Shepherd Mix,Brown/White
Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Torbie
Adoption,Foster,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Black/Brown
Transfer,Partner,Cat,Spayed Female,2 years,British Shorthair Mix,Silver Tabby
Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 months,Pit Bull Mix,White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black
Return_to_owner,,Dog,Neutered Male,10 years,Chihuahua Shorthair/Miniature Pinscher,Tricolor
Adoption,,Dog,Spayed Female,2 years,Dachshund/German Pinscher,Red/Black
Transfer,Partner,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,White/Black
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,2 years,Rat Terrier Mix,Black/White
Adoption,Offsite,Dog,Spayed Female,5 years,Chihuahua Shorthair/Yorkshire Terrier,White/Tan
Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Chocolate
Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black/White
Return_to_owner,,Dog,Spayed Female,6 years,Yorkshire Terrier Mix,Tan/Black
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,1 year,Pointer Mix,White/Tan
Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,1 month,Yorkshire Terrier Mix,Sable
Return_to_owner,,Dog,Neutered Male,3 years,Belgian Malinois Mix,Tan/Black
Transfer,Partner,Cat,Neutered Male,4 years,Norwegian Forest Cat Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Cream
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tan
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,3 years,Beagle Mix,White/Tan
Return_to_owner,,Dog,Spayed Female,10 years,Jack Russell Terrier Mix,White/Black
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie/White
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,7 months,Border Collie/Labrador Retriever,Black/White
Adoption,,Cat,Neutered Male,7 years,Domestic Longhair Mix,White/Black
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Red/White
Adoption,,Cat,Spayed Female,3 years,Siamese Mix,White/Black
Transfer,Partner,Cat,Spayed Female,5 years,Domestic Shorthair Mix,White
Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Aggressive,Dog,Neutered Male,7 years,Rottweiler/Labrador Retriever,Black/Tan
Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Spayed Female,4 months,Siamese/Japanese Bobtail,Seal Point
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
Return_to_owner,,Dog,Neutered Male,3 years,Australian Kelpie Mix,Brown/White
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
Return_to_owner,,Dog,Neutered Male,10 months,Australian Cattle Dog Mix,Black/Tan
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,13 years,Rat Terrier Mix,White/Black
Transfer,Partner,Dog,Spayed Female,6 years,Cairn Terrier Mix,Tan
Adoption,,Dog,Neutered Male,3 years,Flat Coat Retriever/Australian Cattle Dog,Black/Brown
Transfer,Partner,Dog,Intact Male,3 years,Pit Bull Mix,Tan/White
Euthanasia,Aggressive,Dog,Spayed Female,6 years,Labrador Retriever/Boxer,Brown/White
Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black Tabby
Adoption,,Dog,Spayed Female,2 years,Boxer Mix,Fawn/White
Adoption,,Dog,Neutered Male,1 year,Border Collie Mix,Black/White
Return_to_owner,,Dog,Intact Female,7 years,Chihuahua Longhair Mix,Brown
Return_to_owner,,Dog,Spayed Female,14 years,Miniature Pinscher Mix,Black/Brown
Return_to_owner,,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Brown/White
Transfer,Partner,Dog,Intact Male,7 years,Labrador Retriever Mix,Black Brindle/Brown
Return_to_owner,,Dog,Neutered Male,7 years,Boxer Mix,Fawn/White
Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
Transfer,Partner,Dog,Intact Male,2 years,Shih Tzu Mix,White/Cream
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Brown/White
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Tan
Return_to_owner,,Cat,Neutered Male,8 years,Siamese Mix,Lynx Point
Adoption,,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black
Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Adoption,,Dog,Neutered Male,7 years,Maltese,White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Adoption,,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Black/White
Transfer,Partner,Dog,Neutered Male,2 years,Field Spaniel Mix,Black/Brown
Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Chocolate/White
Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue Tabby
Adoption,,Dog,Spayed Female,1 year,Affenpinscher Mix,Gray/Black
Adoption,,Dog,Neutered Male,2 years,Beagle Mix,Buff/Black
Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Spayed Female,2 years,Boxer Mix,Red/White
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Dog,Neutered Male,3 years,Miniature Schnauzer Mix,Black/White
Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black
Return_to_owner,,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Black
Transfer,Partner,Dog,Spayed Female,1 year,Plott Hound/Blue Lacy,Brown Brindle
Adoption,,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull/Chinese Sharpei,Blue/White
Return_to_owner,,Dog,Intact Male,1 year,Rottweiler,Black/Tan
Transfer,Partner,Dog,Intact Male,2 months,Catahoula Mix,Blue Merle/White
Transfer,Partner,Cat,Intact Female,3 weeks,Siamese Mix,Tortie Point
Transfer,Partner,Dog,Spayed Female,2 years,Jack Russell Terrier/Cairn Terrier,Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange/White
Return_to_owner,,Dog,Spayed Female,8 years,Shih Tzu Mix,White/Gray
Euthanasia,Suffering,Cat,Neutered Male,10 years,Domestic Medium Hair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,8 months,Jack Russell Terrier/Shih Tzu,Chocolate/Brown
Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Tricolor
Transfer,Partner,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair,Orange Tabby
Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler/Dachshund,Blue Tick/Red Tick
Transfer,Partner,Dog,Spayed Female,6 months,Miniature Schnauzer/Miniature Poodle,Chocolate
Transfer,Partner,Dog,Spayed Female,3 years,Miniature Schnauzer,Silver
Adoption,,Dog,Spayed Female,4 months,Maltese Mix,Buff
Transfer,Partner,Cat,Neutered Male,11 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream/White
Adoption,,Dog,Spayed Female,4 years,Black Mouth Cur/Staffordshire,Fawn
Adoption,,Dog,Spayed Female,3 years,Labrador Retriever/Redbone Hound,Sable/White
Transfer,Partner,Dog,Intact Female,3 years,Great Pyrenees,White
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,8 months,Jack Russell Terrier Mix,Brown
Return_to_owner,,Dog,Spayed Female,10 years,Pug,Tan/Black
Transfer,Partner,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Red/White
Transfer,Partner,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Black/White
Return_to_owner,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Sable
Transfer,Partner,Dog,Neutered Male,3 years,German Shepherd Mix,Sable
Transfer,Partner,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Calico
Return_to_owner,,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan
Adoption,,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Brown/White
Transfer,Partner,Dog,Spayed Female,1 year,Beauceron Mix,Black/Tan
Transfer,SCRP,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Spayed Female,2 months,Jack Russell Terrier Mix,White/Buff
Transfer,Partner,Dog,Intact Male,6 months,Pit Bull Mix,Black/White
Return_to_owner,,Dog,Spayed Female,10 months,German Shepherd Mix,Black/Brown
Adoption,,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Tricolor
Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Blue/Orange
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
Adoption,,Dog,Intact Female,3 years,Dachshund Mix,Black/Tricolor
Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Blue
Return_to_owner,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White
Euthanasia,Aggressive,Dog,Spayed Female,7 years,Siberian Husky Mix,Brown
Adoption,Foster,Cat,Spayed Female,4 years,Maine Coon Mix,Torbie
Transfer,Partner,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Black
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Buff
Return_to_owner,,Dog,Intact Male,9 years,Beagle Mix,Tricolor
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Jack Russell Terrier/Shih Tzu,Gray/White
Adoption,Foster,Dog,Spayed Female,3 years,Pit Bull Mix,White/Blue
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby
Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue/White
Adoption,,Dog,Neutered Male,11 months,Boxer/American Staffordshire Terrier,Brown/White
Adoption,,Dog,Neutered Male,6 months,Rat Terrier Mix,White/Brown
Adoption,,Dog,Neutered Male,10 months,Jack Russell Terrier/Labrador Retriever,Sable/White
Return_to_owner,,Dog,Spayed Female,4 years,Beagle Mix,Tan/White
Transfer,Partner,Cat,Intact Female,1 month,Snowshoe Mix,Seal Point
Return_to_owner,,Dog,Spayed Female,10 months,Pit Bull Mix,White
Transfer,Partner,Dog,Intact Female,2 months,Australian Shepherd Mix,Tricolor
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,2 years,Catahoula Mix,Brown Merle/Blue Merle
Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
Return_to_owner,,Dog,Neutered Male,8 years,Boxer/Labrador Retriever,Brown
Return_to_owner,,Dog,Spayed Female,2 years,Lhasa Apso Mix,White/Black
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,White/Blue
Adoption,,Dog,Neutered Male,4 years,Basenji Mix,Tan/White
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
Euthanasia,Suffering,Dog,Intact Male,2 years,Miniature Poodle Mix,Black
Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Brown Brindle/White
Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Euthanasia,Suffering,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown
